"septiembre 19º 2017, 5:32:21 pm",Godspeedjp,RT @ViajeroFisgonMX: Viajer@s alguien en la condesa? https://t.co/xkENoqdZO8
"septiembre 19º 2017, 5:32:21 pm",VeryLoud22,"RT @chocoloveAc: El es mi papá, todavía no aparece en CD.MX. Y nadie de mi  familia sabe de el si saben algo por favor comuníquense… "
"septiembre 19º 2017, 5:32:21 pm",chenter_2005,"RT @DictadordeCorea: Si no saben que tuitear en las desgracias de los países hermanos , intente con no tuitear un coño de la madre.  Seguro…"
"septiembre 19º 2017, 5:32:21 pm",Esboddyleo,"RT @MFDOOMSK: Es mi abuelito, no lo podemos localizar, sabemos que está en la zona del centro,monumento a la madre por metro revo… "
"septiembre 19º 2017, 5:32:22 pm",Litroso,RT @Chileokulto: IMPORTANTE: Aquí contactos de Emergencias de @Minrel_Chile para localizar a familiares chilenos afectados por terre… 
"septiembre 19º 2017, 5:32:22 pm",prin24sa,"RT @xavierglees: Herido por el #sismo en Puebla es originario de #Xalapa 
Ayudemos a localizar a sus familiares. https://t.co/pa7tXbfP0Z"
"septiembre 19º 2017, 5:32:22 pm",Eddarlo,RT @peopleenespanol: Ayudemos a encontrar a este joven 🙏🏼 #oremospormexico https://t.co/ek6Q3LnEBG
"septiembre 19º 2017, 5:32:22 pm",ajolote21,"RT @eliasferrerm: ¿Alguien en la CDMX,en la Condesa?

Necesitó localizar a Lucia Ferrer Gonzalez, tiene 10 años...

RT por favor.😢
#sismo…"
"septiembre 19º 2017, 5:32:22 pm",LucyZepeda,"RT @chocoloveAc: El es mi papá, todavía no aparece en CD.MX. Y nadie de mi  familia sabe de el si saben algo por favor comuníquense… "
"septiembre 19º 2017, 5:32:22 pm",pamela_araya,RT @Minrel_Chile: IMPORTANTE: Aquí contactos de Emergencias de @Minrel_Chile para localizar a familiares chilenos afectados por terre… 
"septiembre 19º 2017, 5:32:22 pm",David_Cal07,"RT @MFDOOMSK: Es mi abuelito, no lo podemos localizar, sabemos que está en la zona del centro,monumento a la madre por metro revo… "
"septiembre 19º 2017, 5:32:22 pm",duana_lee,"RT @MFDOOMSK: Es mi abuelito, no lo podemos localizar, sabemos que está en la zona del centro,monumento a la madre por metro revo… "
